symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,11/05/2020 11:45,11/05/2020,13996,13996,139829,1399037,7567
GOOG,11/05/2020 11:50,11/05/2020,139892,139939,1398323,139879,3968
GOOG,11/05/2020 11:55,11/05/2020,139891,139952,139846,139952,4819
GOOG,11/05/2020 12:00,11/05/2020,139906,139967,1399,139909,5142
GOOG,11/05/2020 12:05,11/05/2020,139943,139977,13981,13981,11500
GOOG,11/05/2020 12:10,11/05/2020,139835,139951,139801,139927,4411
GOOG,11/05/2020 12:15,11/05/2020,139883,1400,139819,1399271,5480
GOOG,11/05/2020 12:20,11/05/2020,139922,140064,139892,139999,15195
GOOG,11/05/2020 12:25,11/05/2020,139974,140043,139945,139959,4326
GOOG,11/05/2020 12:30,11/05/2020,140015,140138,1399688,140138,5331
GOOG,11/05/2020 12:35,11/05/2020,140105,140162,140058,1400775,2061
GOOG,11/05/2020 12:40,11/05/2020,1400762,14025,1400755,1402254,12326
GOOG,11/05/2020 12:45,11/05/2020,140209,1402686,140151,1401685,13312
GOOG,11/05/2020 12:50,11/05/2020,14019,140226,140087,140184,15874
GOOG,11/05/2020 12:55,11/05/2020,1401715,140221,140113,14014,4229
GOOG,11/05/2020 13:00,11/05/2020,140218,140218,140077,140152,5602
GOOG,11/05/2020 13:05,11/05/2020,140149,1402065,140091,140184,3721
GOOG,11/05/2020 13:10,11/05/2020,1401465,1403298,1401395,140284,6280
GOOG,11/05/2020 13:15,11/05/2020,14027,1402954,140189,140206,7284
GOOG,11/05/2020 13:20,11/05/2020,1402593,1402593,1401799,14021,4963
GOOG,11/05/2020 13:25,11/05/2020,140236,140353,140199,140349,5581
GOOG,11/05/2020 13:30,11/05/2020,140389,140577,140347,1404703,10619
GOOG,11/05/2020 13:35,11/05/2020,140482,1406037,140383,1405936,6194
GOOG,11/05/2020 13:40,11/05/2020,1406311,140656,140373,1403792,3900
GOOG,11/05/2020 13:45,11/05/2020,1403965,140568,1403965,1404729,2633
GOOG,11/05/2020 13:50,11/05/2020,140487,140555,14046,140499,7464
GOOG,11/05/2020 13:55,11/05/2020,140532,140741,140476,1405945,10929
GOOG,11/05/2020 14:00,11/05/2020,1406367,140722,1405075,1405275,5392
