symbol,timestamp,tradingDay,open,high,low,close,volume
"IBM","2020-04-29T09:00:00-04:00","2020-04-29","127.1744","127.5987","126.5401","126.6909","345861"
"IBM","2020-04-29T10:00:00-04:00","2020-04-29","126.6909","126.987","125.8423","126.633","420148"
"IBM","2020-04-29T11:00:00-04:00","2020-04-29","126.6317","127.135","126.3722","127.056","396480"
"IBM","2020-04-29T12:00:00-04:00","2020-04-29","127.0659","127.2928","126.3357","127.1744","353842"
"IBM","2020-04-29T13:00:00-04:00","2020-04-29","127.1744","127.3027","126.6416","126.9277","357509"
"IBM","2020-04-29T14:00:00-04:00","2020-04-29","126.8981","127.5593","126.4442","126.8685","497417"
"IBM","2020-04-29T15:00:00-04:00","2020-04-29","126.8685","127.5593","126.7353","127.0067","979092"
"IBM","2020-04-30T09:00:00-04:00","2020-04-30","124.8457","125.1516","123.5629","125.0184","630923"
"IBM","2020-04-30T10:00:00-04:00","2020-04-30","125.0233","125.5857","123.9773","124.4411","618914"
"IBM","2020-04-30T11:00:00-04:00","2020-04-30","124.4608","125.0134","124.0661","124.1944","504043"
"IBM","2020-04-30T12:00:00-04:00","2020-04-30","124.1747","124.6286","123.632","124.4806","465759"
"IBM","2020-04-30T13:00:00-04:00","2020-04-30","124.431","124.4891","123.8836","124.0069","321820"
"IBM","2020-04-30T14:00:00-04:00","2020-04-30","124.0267","124.885","123.8688","124.2788","411167"
"IBM","2020-04-30T15:00:00-04:00","2020-04-30","124.2536","124.7569","123.7109","123.8194","808350"
"IBM","2020-05-01T09:00:00-04:00","2020-05-01","121.5597","121.5597","120.494","120.7901","513956"
"IBM","2020-05-01T10:00:00-04:00","2020-05-01","120.8394","121.836","120.3361","121.6091","507896"
"IBM","2020-05-01T11:00:00-04:00","2020-05-01","121.5795","121.5795","120.2868","120.5102","345638"
"IBM","2020-05-01T12:00:00-04:00","2020-05-01","120.5039","120.9085","120.2473","120.8874","532928"
"IBM","2020-05-01T13:00:00-04:00","2020-05-01","120.869","121.1404","120.1191","120.2671","394731"
"IBM","2020-05-01T14:00:00-04:00","2020-05-01","120.2572","120.5286","120.0006","120.2509","399326"
